Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Env,Chrome 120.0.0.0,,,19-01-2024 17:10:36,19-01-2024 17:10:48,11.735s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/AppointmentConfirmation,Chrome 120.0.0.0,,,19-01-2024 17:10:37,19-01-2024 17:10:48,11.513s,PASSED
"callTestCase(findTestCase(""Test Case Web Testing/Login""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,19-01-2024 17:10:37,19-01-2024 17:10:46,9.429s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,19-01-2024 17:10:46,19-01-2024 17:10:47,0.263s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,19-01-2024 17:10:47,19-01-2024 17:10:47,0.123s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,19-01-2024 17:10:47,19-01-2024 17:10:47,0.111s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,19-01-2024 17:10:47,19-01-2024 17:10:47,0.116s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_20""))",Chrome 120.0.0.0,,,19-01-2024 17:10:47,19-01-2024 17:10:47,0.117s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""Testing"")",Chrome 120.0.0.0,,,19-01-2024 17:10:47,19-01-2024 17:10:47,0.149s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,19-01-2024 17:10:47,19-01-2024 17:10:48,0.601s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,19-01-2024 17:10:48,19-01-2024 17:10:48,0.249s,PASSED
